0.100000,2.400000
0.128942,2.308477
0.133095,2.233091
0.154117,2.135331
0.158984,2.064384
0.155652,1.969236
0.204411,1.881966
0.279901,1.825973
0.326941,1.737733
0.312394,1.678586
0.372437,1.639090
0.452458,1.616166
0.460400,1.517844
0.535371,1.452129
0.625760,1.409982
0.622815,1.334351
0.680130,1.332661
0.644045,1.254882
0.694652,1.211421
0.761128,1.187024
0.735825,1.111195
0.720847,1.013528
0.766441,0.926601
0.861537,0.900528
0.886294,0.834558
0.929197,0.747379
0.967595,0.655586
0.928917,0.564265
0.979144,0.478245
