0.1,2.4
0.210234,2.363022
0.316595,2.315914
0.421873,2.266456
0.521559,2.206609
0.57808,2.165752
0.494619,2.247272
0.42122,2.337957
0.402955,2.360876
0.453382,2.25567
0.489327,2.152025
0.464608,2.266043
0.461591,2.261938
0.459274,2.145373
0.443405,2.029869
0.414201,1.916998
0.372059,1.808293
0.318908,1.70448
0.272668,1.59741
0.239038,1.484962
0.218814,1.369348
0.212276,1.25216
0.219514,1.135014
0.232968,1.051426
0.198667,1.163672
0.15145,1.271125
0.150284,1.278661
0.205853,1.176145
0.24911,1.067857
0.279467,0.95527
0.300389,0.840505
0.331714,0.728183
0.375902,0.620272
0.432351,0.518238
0.467172,0.473681
0.545983,0.387217
0.634354,0.310551
0.731073,0.244729
0.834818,0.190655
0.944169,0.149066
1.057629,0.120534
1.173644,0.105448
1.084095,0.105126
0.967745,0.092886
1.060884,0.115057
1.094355,0.125334
0.980914,0.095552
1.010571,0.096457
1.127828,0.099041
1.244581,0.087878
1.2,0.1
